Inf;Jogador;Nação;Clube;Posição;Expira;Data de Início do Contrato;Bravura;Agressividade;(Tendência) para Saídas da Baliza;Lançamentos;Idade;Posição;Pé Preferido;Nação de Nascimento;Altura;Região Nascimento;Data Nasc.;Melhor Pos;Susceptibilidade a Lesões;Emprestado Por;Último Clube;2ª Nac;Selecção Nacional;Unique ID;Técnica;Desarme;Marcação de Penáltis;Passe;Marcação;Lançamentos Longos;Remates de Longe;Cabeceamento;Livres;Primeiro Toque;Finalização;Finta;Cruzamentos;Cantos;Força;Resistência;Velocidade;Aptidão Física;Impulsão;Equilíbrio;Agilidade;Aceleração;Índice de Trabalho;Visão de Jogo;Posicionamento;Trabalho de Equipa;Sem Bola;Liderança;Imprevisibilidade;Determinação;Decisões;Concentração;Compostura;Antecipação;Saídas a Punhos;Reflexos;Pontapé;Um Para Um;Jogo de Mãos;Comunicação;Alcance Aéreo
;André Silva;BRA;São Paulo;MO (DE), PL (C);30/6/2027;1/3/2024;7-13;10-14;1-6;3-7;28;MO (DE), PL (C);Pé Esquerdo;Brasil;1,81 m;São Paulo;3/6/1997;PL (C);Acima da Média;;Vitória de Guimarães;;;19264972;9-13;3-9;11-15;11-15;2-6;7-11;6-10;12-18;10-16;12-16;10-16;10-14;10-14;6-10;11-15;8-12;12-18;11-15;9-13;7-13;10-14;11-15;9-13;11-17;4-10;11-17;12-16;5-9;10-14;16-20;9-13;8-12;13-17;11-15;1;1-4;1-3;1-4;1-4;2-6;1-6
;Andreas Pereira;BRA;Palmeiras;M/MO (EC);31/12/2028;29/8/2025;9-13;10-14;1-5;1-5;29;M/MO (EC);Pé Direito;Bélgica;1,78 m;Antwerpen;1/1/1996;M/MO (C);Acima da Média;;Fulham;Bélgica;;28085588;14-18;9-13;14-18;9-13;7-13;1-6;12-16;4-8;12-16;11-17;9-13;14-18;10-14;13-19;5-11;11-15;12-16;11-15;6-12;12-16;14-18;10-14;13-17;13-17;10-14;13-17;12-16;7-11;12-18;14-20;8-12;11-17;7-13;11-15;1-3;1-3;1-5;1-6;1;1-3;2-6
;Andrei;BRA;Vitória;D (C);31/12/2026;1/1/2024;-;-;-;-;20;D (C);Pé Preferido Desconhecido;Brasil;2,01 m;Bahia;30/4/2005;D (C);Alta;;-;;;2000308517;-;9-18;-;-;7-15;-;-;11-20;-;7-14;-;-;-;-;14-20;-;-;-;15-20;-;-;-;-;-;4-13;-;-;-;-;13-20;-;-;-;-;-;-;-;-;-;-;-
;Andrés González;COL;Remo;MO (DE), PL (C);31/3/2027;1/7/2025;-;-;-;-;19;MO (DE), PL (C);Pé Preferido Desconhecido;Colômbia;1,78 m;Andina;29/6/2006;MO (E);Baixo;Amazônia IFC;-;;S-20;2002043009;-;-;-;10-17;-;-;-;-;-;9-18;7-13;10-18;9-16;-;-;-;10-16;-;-;-;7-15;14-20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Andrew;BRA;Flamengo;GR;31/12/2029;29/12/2025;10-16;9-13;10-14;7-11;24;GR;Pé Direito;Brasil;1,89 m;Rio de Janeiro;1/7/2001;GR;Alta;;Gil Vicente;;;19370048;8-12;1-3;1-5;6-10;1-3;1-3;2-6;1;4-10;6-10;1-5;3-9;1-3;1-5;9-13;10-14;6-10;12-16;10-14;7-13;8-14;7-11;11-15;5-9;9-15;8-12;1-3;5-9;1-4;11-15;11-15;10-14;7-11;6-12;12-16;10-16;4-10;10-14;10-14;7-11;8-12
;Andrey Fernandes;BRA;Vasco da Gama;MO (E), PL (C);30/6/2027;1/7/2024;8;8;2;2;17;MO (E), PL (C);Pé Direito;Brasil;1,76 m;;5/2/2008;PL (C);Média;;-;;;2000481532;11;5;10;10;7;5;8;8;7;11;11;12;9;8;7;9;12;10;9;9;13;12;8;10;7;10;13;7;11;12;11;10;11;11;1;2;1;4;2;1;3
Trn;Ângelo;BRA;São Paulo;D/DA/M/MO (D);30/11/2027;4/2/2025;-;-;-;-;17;D/DA/M/MO (D);Pé Preferido Desconhecido;Brasil;1,81 m;São Paulo;20/10/2008;DA (D);Acima da Média;;-;;;2000460060;-;12-20;-;-;5-13;-;-;-;-;10-18;-;-;4-10;-;12-20;-;7-17;-;-;-;-;5-11;-;-;1-10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Fabrizio Angileri;ARG;Corinthians;D/DA/M (E);31/12/2026;29/12/2025;9-13;12-16;1-5;1-7;31;D/DA/M (E);Somente Pé Esquerdo;Argentina;1,85 m;Mendoza;15/3/1994;D (E);Acima da Média;;Getafe CF;Itália;;14079839;8-14;9-13;8-12;13-17;10-14;11-17;8-14;7-11;11-15;11-17;7-11;11-15;14-18;10-14;8-14;10-16;11-15;12-16;8-12;10-14;11-15;13-17;9-15;12-16;11-15;10-14;11-15;4-8;5-9;8-14;9-15;9-13;11-17;11-15;1-4;1-3;1-4;1-2;2-6;1-6;1-4
;Anthoni;BRA;SC Internacional;GR;31/12/2029;1/7/2025;14-18;3-9;4-8;8-12;23;GR;Pé Direito;Brasil;1,93 m;Rio Grande do Sul;23/1/2002;GR;Alta;;-;;;2000020492;6-10;1-4;1-2;6-12;1-5;1-5;1-4;1-4;6-10;7-11;2-6;1-2;1-6;1-6;11-15;4-8;8-12;11-17;12-18;7-11;8-12;8-14;9-13;9-13;12-16;10-14;1-3;6-12;1-5;11-15;10-14;7-13;7-11;8-12;9-13;13-17;5-9;8-14;11-17;8-12;14-18
For;Anthonny;BRA;São Paulo;MO (D);31/12/2026;24/10/2025;-;-;-;-;17;MO (D);Pé Preferido Desconhecido;Brasil;1,77 m;;17/10/2008;MO (D);Média;Ibrachina;-;;;2000518241;-;-;-;7-15;-;-;-;-;-;1-6;7-13;6-12;8-16;-;-;-;5-15;-;-;-;9-15;9-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Anthony;BRA;EC Bahia;MD, M (C);31/12/2027;26/2/2024;-;-;-;-;17;MD, M (C);Pé Preferido Desconhecido;Brasil;1,81 m;Distrito Federal;16/1/2008;M (C);Abaixo da Média;Atlético Goianiense;-;;;2000490712;-;6-12;-;10-18;-;-;1-10;-;-;8-18;-;-;-;-;5-15;-;-;-;-;-;-;-;7-17;8-14;-;-;-;-;1-6;-;-;-;-;-;-;-;-;-;-;-;-
;Anthony Wesley;BRA;Botafogo;D (C);31/3/2030;29/12/2025;-;-;-;-;20;D (C);Pé Preferido Desconhecido;Brasil;1,93 m;;12/7/2005;D (C);Baixo;;Goiás;;;2000347152;-;6-13;-;-;7-13;-;-;5-12;-;6-14;-;-;-;-;8-16;-;-;-;10-16;-;-;-;-;-;12-20;-;-;-;-;8-16;-;-;-;-;-;-;-;-;-;-;-
;Antônio Carlos;BRA;Fluminense;GR;31/1/2027;11/3/2025;-;-;1-7;6-15;19;GR;Pé Preferido Desconhecido;Brasil;1,85 m;;15/6/2006;GR;Acima da Média;;Andirá;;;2000273241;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8-14;4-12;13-20;-;5-12;-;6-12
;Antônio Marcos;BRA;Palmeiras;MO (DE), PL (C);30/6/2027;5/7/2024;-;-;-;-;18;MO (DE), PL (C);Pé Preferido Desconhecido;Brasil;1,81 m;Maranhão;25/6/2007;MO (E);Acima da Média;;Retrô;;;2000376963;-;-;-;9-15;-;-;-;-;-;9-17;8-17;2-11;7-13;-;-;-;6-13;-;-;-;6-15;11-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Antonny;BRA;Santos;M (C);28/2/2027;16/5/2024;-;-;-;-;18;M (C);Pé Preferido Desconhecido;Brasil;1,77 m;;28/1/2007;M (C);Média;;Azuriz;;;2000379990;-;6-12;-;3-10;-;-;4-10;-;-;3-12;-;-;-;-;1-10;-;-;-;-;-;-;-;8-14;6-12;-;-;-;-;3-12;-;-;-;-;-;-;-;-;-;-;-;-
;Aranha;BRA;Palmeiras;GR;30/6/2029;14/7/2025;-;-;2-8;5-14;20;GR;Pé Preferido Desconhecido;Brasil;1,90 m;Pernambuco;7/2/2005;GR;Média;;Sport Recife;;;2000246368;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3-9;10-18;14-20;-;6-13;-;9-15
;Alejandro Ararat;COL;Coritiba;MD, M (C);31/12/2026;1/7/2025;-;-;-;-;19;MD, M (C);Pé Preferido Desconhecido;Colômbia;1,91 m;Andina;21/7/2006;MD;Abaixo da Média;Yumbo F.C.;Atlético Huila;;S-20;2000362029;-;7-16;-;11-19;-;-;9-18;-;-;8-15;-;-;-;-;2-9;-;-;-;-;-;-;-;11-20;2-11;-;-;-;-;7-14;-;-;-;-;-;-;-;-;-;-;-;-
;Araujo;BRA;Corinthians;PL (C);30/6/2027;1/7/2024;-;-;-;-;18;PL (C);Pé Preferido Desconhecido;Brasil;1,80 m;;2/1/2007;PL (C);Abaixo da Média;;-;;;2000379971;-;-;-;3-12;-;-;-;8-16;-;10-16;11-18;-;-;-;2-8;-;8-16;-;1-10;-;-;10-19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
D;Michel Araújo;URU;EC Bahia;M (E), MO (DE);31/12/2028;8/1/2025;9-15;10-14;1;1-5;29;M (E), MO (DE);Somente Pé Esquerdo;Uruguai;1,78 m;Colonia;28/9/1996;MO (E);Abaixo da Média;;São Paulo;;;78082187;15-19;7-11;8-14;10-14;11-15;8-12;10-14;10-14;12-18;12-16;9-15;12-18;10-14;9-13;7-11;11-15;7-11;10-14;7-11;10-16;10-16;12-16;13-17;7-11;10-16;6-10;9-15;8-12;12-16;11-15;13-17;11-15;10-14;9-15;1-5;1-7;1-4;1-5;1-3;1-3;1-3
;Jhon Arias;COL;Palmeiras;MO (DEC);31/12/2029;29/12/2025;6-12;4-8;1-3;1-4;28;MO (DEC);Pé Direito;Colômbia;1,72 m;Pacífica;21/9/1997;MO (C);Média;;Wolves;;A;76053760;15-19;6-10;12-18;13-17;4-8;9-13;11-15;4-8;12-18;12-16;11-17;11-17;12-16;11-15;9-13;14-18;9-13;13-17;5-9;11-17;9-15;11-15;14-18;11-15;7-13;10-14;10-16;8-12;12-16;10-14;12-16;11-15;11-15;10-16;1-5;1-7;1-5;1-3;1-4;1-3;1
;Keny Arroyo;ECU;Cruzeiro;M (D), MO (DE);31/12/2029;1/9/2025;8-13;11-16;1-4;1-6;19;M (D), MO (DE);Pé Esquerdo;Equador;1,76 m;Guayas;14/2/2006;MO (D);Acima da Média;;Beşiktaş;;;2000238729;10-17;4-9;8-14;13-18;1-4;4-11;7-14;4-9;11-16;11-18;7-12;12-18;13-18;9-14;6-13;6-13;10-15;12-17;1-6;10-15;11-17;14-19;6-13;10-15;2-7;10-15;9-15;7-12;10-15;12-19;6-13;3-8;10-17;7-13;1-4;1-3;1-5;1;2-7;2-9;1-4
JEC;Arthur;BRA;Grêmio;MD, M (C);30/6/2027;3/2/2025;10-14;8-12;1-3;1-3;29;MD, M (C);Pé Direito;Brasil;1,70 m;Goiás;12/8/1996;M (C);Alta;Juventus;Barcelona;;;19259600;13-19;8-14;9-13;15-19;10-14;1-5;8-14;3-9;10-14;12-16;6-10;12-16;10-14;12-16;7-11;11-17;8-14;7-11;7-11;13-17;12-16;10-14;10-16;10-16;12-16;10-16;6-10;7-11;14-18;9-13;13-19;15-19;10-14;12-16;1-7;1-5;1-4;2-6;1-4;1-2;1-3
Prt;Arthur;BRA;Palmeiras;D/DA (E);31/12/2029;2/8/2025;-;-;-;-;20;D/DA (E);Pé Preferido Desconhecido;Brasil;1,76 m;São Paulo;4/9/2005;D (E);Média;;-;;;2000329679;-;11-18;-;-;9-15;-;-;-;-;6-12;-;-;5-14;-;3-9;-;11-18;-;-;-;-;4-13;-;-;4-11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Arthur Cabral;BRA;Botafogo;PL (C);31/12/2028;8/6/2025;14-20;14-18;1-2;1-4;27;PL (C);Pé Direito;Brasil;1,86 m;Paraíba;25/4/1998;PL (C);Abaixo da Média;;Benfica;;;19266403;14-18;4-8;4-10;8-12;2-6;9-13;12-16;9-13;6-12;11-15;13-19;9-15;8-12;4-8;15-19;12-16;9-13;10-14;12-16;11-17;5-11;9-13;10-14;9-13;4-10;10-14;6-12;8-12;6-10;9-13;12-16;12-16;12-16;7-13;1-5;1-5;1-4;1-3;1-5;1-4;1
;Arthur Daniel;BRA;Coritiba;M/MO (C);31/1/2027;20/1/2025;-;-;-;-;17;M/MO (C);Pé Preferido Desconhecido;Brasil;1,72 m;;9/4/2008;M (C);Alta;;-;;;2000437283;3-13;-;-;11-19;-;-;1-7;-;-;9-19;1-7;-;-;-;-;-;-;-;-;-;-;-;-;10-16;-;-;-;-;2-10;-;-;-;9-19;-;-;-;-;-;-;-;-
;Arthur Dias;BRA;Athletico-PR;D (C);31/12/2028;1/9/2025;-;-;-;-;18;D (C);Pé Preferido Desconhecido;Brasil;1,87 m;Mato Grosso do Sul;10/4/2007;D (C);Acima da Média;;-;;;2000264292;-;10-19;-;-;6-14;-;-;9-18;-;10-17;-;-;-;-;10-17;-;-;-;7-15;-;-;-;-;-;5-14;-;-;-;-;13-20;-;-;-;-;-;-;-;-;-;-;-
;Arthur do Vale;BRA;Santos;GR;31/3/2028;10/5/2025;-;-;1-5;7-15;16;GR;Pé Preferido Desconhecido;Brasil;1,88 m;Espírito Santo;28/1/2009;GR;Média;;-;;;2000510252;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5-13;8-18;4-14;-;10-16;-;3-11
;Arthur Henrique;BRA;Fluminense;MO (E);31/12/2026;14/7/2025;-;-;-;-;18;MO (E);Pé Preferido Desconhecido;Brasil;1,81 m;;15/6/2007;MO (E);Abaixo da Média;;-;;;2000482536;-;-;-;5-13;-;-;-;-;-;3-10;7-13;9-15;7-15;-;-;-;6-15;-;-;-;9-15;8-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Arthur Jampa;BRA;EC Bahia;GR;2/12/2027;2/12/2024;-;-;9-15;9-19;17;GR;Pé Preferido Desconhecido;Brasil;1,88 m;;30/3/2008;GR;Média;;-;;;2000378949;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1-11;8-14;6-14;-;10-18;-;6-12
;Arthur Novaes;BRA;Botafogo;M (C);30/6/2029;5/5/2025;-;-;-;-;17;M (C);Pé Preferido Desconhecido;Brasil;1,76 m;;16/9/2008;M (C);Abaixo da Média;;-;;;2000491208;-;8-16;-;4-14;-;-;5-13;-;-;7-13;-;-;-;-;3-9;-;-;-;-;-;-;-;4-12;12-20;-;-;-;-;8-14;-;-;-;-;-;-;-;-;-;-;-;-
;Arthur Ryan;BRA;Fluminense;D/DA (D);31/5/2027;1/6/2024;-;-;-;-;17;D/DA (D);Pé Preferido Desconhecido;Brasil;1,74 m;;18/3/2008;D (D);Acima da Média;;-;;;2000463014;-;3-11;-;-;1-10;-;-;-;-;9-15;-;-;8-18;-;3-9;-;8-16;-;-;-;-;11-20;-;-;7-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Arthur Theodoro;BRA;RB Bragantino;MD, M (C);31/7/2027;8/4/2025;-;-;-;-;17;MD, M (C);Pé Preferido Desconhecido;Brasil;1,69 m;;2/5/2008;MD;Abaixo da Média;;-;;;2000378235;-;5-13;-;11-17;-;-;12-20;-;-;6-14;-;-;-;-;1-5;-;-;-;-;-;-;-;10-18;1-7;-;-;-;-;1-7;-;-;-;-;-;-;-;-;-;-;-;-
;Artur;BRA;São Paulo;MO (DE);31/12/2029;23/1/2025;9-13;8-14;2-6;1-5;27;MO (DE);Somente Pé Esquerdo;Brasil;1,68 m;Ceará;15/2/1998;MO (D);Acima da Média;Botafogo;Zenit;;;19261284;11-15;9-13;8-14;9-15;7-11;2-6;11-15;7-11;7-11;12-16;8-12;12-18;8-14;12-16;4-8;12-16;15-19;8-14;2-6;11-15;14-20;12-18;12-16;13-17;2-6;9-13;13-19;3-9;12-16;11-15;10-14;9-13;10-14;10-16;1-3;1;1-7;2-6;1-3;1-4;4-8
;Artur Júnior;BRA;Grêmio;MD, M (C);31/12/2027;1/6/2024;-;-;-;-;19;MD, M (C);Pé Preferido Desconhecido;Brasil;1,72 m;Rio de Janeiro;23/9/2006;M (C);Acima da Média;;-;;;2000277686;-;6-14;-;10-19;-;-;3-9;-;-;8-14;-;-;-;-;3-9;-;-;-;-;-;-;-;9-15;7-15;-;-;-;-;1-10;-;-;-;-;-;-;-;-;-;-;-;-
Les;Assef;BRA;Atlético Mineiro;MO (DE);31/12/2027;1/12/2024;-;-;-;-;17;MO (DE);Pé Preferido Desconhecido;Brasil;1,64 m;Minas Gerais;28/1/2008;MO (E);Alta;;-;;;2000438586;-;-;-;7-13;-;-;-;-;-;10-18;8-18;4-14;9-15;-;-;-;6-14;-;-;-;6-16;12-18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Assis;BRA;Santos;D (C);28/2/2027;18/3/2024;-;-;-;-;18;D (C);Pé Preferido Desconhecido;Brasil;1,84 m;;12/12/2007;D (C);Abaixo da Média;;Ponte Preta;;;2000380014;-;3-10;-;-;6-12;-;-;4-11;-;6-14;-;-;-;-;5-13;-;-;-;7-13;-;-;-;-;-;9-18;-;-;-;-;1-9;-;-;-;-;-;-;-;-;-;-;-
;Athos Thawan;BRA;Grêmio;D (C);31/12/2027;29/12/2025;-;-;-;-;20;D (C);Pé Preferido Desconhecido;Brasil;1,87 m;Minas Gerais;29/3/2005;D (C);Alta;;-;;;2000112097;-;9-17;-;-;6-15;-;-;9-17;-;5-11;-;-;-;-;6-12;-;-;-;6-15;-;-;-;-;-;10-17;-;-;-;-;1-6;-;-;-;-;-;-;-;-;-;-;-
;Marvin Avila;GUA;São Paulo;MO (DE);N/A;29/12/2025;-;-;-;-;17;MO (DE);Pé Preferido Desconhecido;Guatemala;1,78 m;;17/3/2008;MO (E);Alta;;Antigua GFC;;;2000365856;-;-;-;12-20;-;-;-;-;-;7-17;4-10;6-14;11-19;-;-;-;10-16;-;-;-;9-17;11-19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Ayrton Lucas;BRA;Flamengo;D/DA (E);31/12/2027;31/12/2022;8-14;6-10;1-7;1-5;28;D/DA (E);Pé Esquerdo;Brasil;1,80 m;Rio Grande do Norte;19/6/1997;D/DA (E);Abaixo da Média;;Spartak Moscovo;;;19284037;9-13;10-16;8-12;11-15;6-10;11-15;8-12;6-12;1-6;14-18;7-13;13-17;10-14;10-14;11-15;12-16;15-20;11-15;8-12;7-13;12-16;14-18;8-12;10-16;4-10;6-12;9-13;6-10;10-14;15-19;5-9;8-12;12-16;10-14;1-2;1-3;1-5;1-5;1-5;3-7;1-6
;Bahia;BRA;Corinthians;MD, M (C);30/9/2027;1/10/2024;-;-;-;-;19;MD, M (C);Pé Preferido Desconhecido;Brasil;1,78 m;Bahia;2/1/2006;MD;Abaixo da Média;;-;;S-20;2000192476;-;5-12;-;11-17;-;-;11-18;-;-;8-16;-;-;-;-;5-13;-;-;-;-;-;-;-;13-20;5-12;-;-;-;-;6-12;-;-;-;-;-;-;-;-;-;-;-;-
;Fabián Balbuena;PAR;Grêmio;D (C);30/6/2027;26/7/2025;12-16;10-14;1-3;1-3;34;D (C);Pé Direito;Paraguai;1,88 m;Eastern Paraguay;23/8/1991;D (C);Alta;;Dinamo Moscovo;;;79013838;7-11;12-16;6-10;6-10;12-18;4-10;4-8;12-16;5-9;6-12;5-9;6-10;3-7;4-10;11-17;8-12;8-12;7-11;10-16;12-16;9-13;6-10;13-17;6-10;12-16;11-15;8-12;11-15;3-9;10-16;11-15;11-17;9-15;12-16;1-3;1-5;1-5;1-5;1;1-5;1-5
;Baralhas;BRA;Vitória;MD, M (C);31/12/2028;29/12/2025;11-15;10-16;2-6;1-3;27;MD, M (C);Pé Direito;Brasil;1,78 m;São Paulo;10/10/1998;MD;Média;;SC Internacional;;;19339282;10-14;14-18;6-12;8-14;13-17;6-10;10-14;11-15;5-9;9-13;6-10;8-14;5-11;5-9;10-14;11-15;12-16;8-14;8-12;8-12;10-16;8-14;13-17;10-14;11-15;14-18;10-16;7-13;8-12;12-16;12-16;11-15;9-13;12-18;1-5;1-3;1-5;1-4;1-5;1-4;3-7
;Alexander Barboza;URU;Palmeiras;D (C);31/12/2029;1/7/2025;16-20;16-20;1-4;1-5;30;D (C);Pé Esquerdo;Argentina;1,93 m;Buenos Aires;16/3/1995;D (C);Média;;Botafogo;Argentina;;14076367;11-15;11-15;5-9;11-17;10-16;8-12;11-15;13-17;10-14;11-15;5-9;5-9;4-10;2-8;14-18;13-17;9-13;13-19;11-17;14-18;7-11;11-17;14-18;11-15;14-18;11-15;7-11;12-18;3-9;12-16;9-13;6-12;12-16;9-13;1-4;3-7;1-3;1-5;1-7;1-3;2-6
;Álvaro Barreal;ARG;Santos;M (EC), MO (DE);31/12/2028;29/12/2025;5-9;8-14;3-7;1-3;25;M (EC), MO (DE);Somente Pé Esquerdo;Argentina;1,73 m;;17/8/2000;MO (E);Acima da Média;;Cincinnati;E.U.A.;;14201730;11-15;10-14;9-15;9-15;8-12;3-7;11-15;6-10;9-13;11-15;8-12;12-18;10-16;9-13;8-12;11-15;13-17;10-16;5-9;9-13;11-17;10-16;12-16;13-17;7-11;14-18;10-16;2-8;13-17;10-14;10-14;9-13;9-13;11-17;1-3;1-2;1-7;1-3;1-4;1-5;1-5
;Jordan Barrera;COL;Botafogo;M (C), MO (EC);31/12/2029;10/7/2025;8-13;5-11;1-6;1;19;M (C), MO (EC);Pé Direito;Colômbia;1,80 m;Caribe;11/4/2006;MO (C);Abaixo da Média;;Junior;;S-20;2000170179;11-18;2-9;2-7;10-16;8-13;1-6;9-16;2-9;9-14;8-13;8-13;10-15;8-14;11-16;5-10;9-16;8-15;9-15;9-14;9-14;10-15;10-16;8-15;7-14;7-12;6-13;9-14;7-13;13-18;8-13;9-16;11-16;6-11;8-13;1-6;1-6;1-3;3-8;1-6;1-3;1-3
;Kadir Barría;PAN;Botafogo;PL (C);31/12/2029;1/8/2025;-;-;-;-;18;PL (C);Pé Preferido Desconhecido;E.U.A.;1,83 m;Florida;18/7/2007;PL (C);Abaixo da Média;;Atlético Nacional (PAN);;S-20;2000482325;-;-;-;6-14;-;-;-;2-11;-;3-10;11-17;-;-;-;6-13;-;4-13;-;10-17;-;-;7-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Les;Bastos;ANG;Botafogo;D (C);31/12/2026;27/9/2024;13-17;19-20;1-3;1-5;34;D (C);Pé Direito;Angola;1,84 m;Luanda Province;27/3/1991;D (C);Acima da Média;;Al-Ahli;;;13129531;8-14;14-18;4-8;12-16;10-14;8-14;6-12;11-15;4-8;8-14;8-12;10-14;7-11;3-7;12-18;9-15;12-16;16-20;8-12;12-16;11-15;14-18;12-18;8-12;10-14;13-17;5-9;8-12;8-12;14-20;7-13;9-13;11-17;13-17;1-3;1-5;1-5;1;3-7;1-5;1-4
;Benassi;BRA;Coritiba;GR;31/12/2027;6/12/2024;8-14;7-11;13-19;10-14;22;GR;Somente Pé Direito;Brasil;1,93 m;;17/12/2003;GR;Alta;;Ferroviária;;;2000086305;4-8;-;-;-;-;-;-;-;-;8-12;-;-;-;-;10-14;1-5;9-15;12-16;13-17;7-13;12-16;9-13;4-8;-;9-15;7-13;1-4;10-14;-;12-16;9-13;7-11;8-12;4-8;4-8;10-16;7-11;12-16;12-16;14-18;12-18
;Gastón Benavídez;ARG;Athletico-PR;D/DA (D);31/12/2028;29/12/2025;9-13;10-14;1-3;1-6;30;D/DA (D);Pé Direito;Argentina;1,75 m;Córdoba;23/10/1995;D (D);Abaixo da Média;;Talleres;;;14152361;9-15;11-15;6-10;13-17;7-11;10-16;4-10;9-13;5-9;10-16;5-9;10-14;12-16;6-10;9-15;11-17;13-17;14-18;4-8;10-14;10-14;14-18;8-14;9-13;9-13;10-14;13-17;11-15;3-7;13-19;8-14;9-13;11-17;11-15;1-3;1-3;1-4;1-3;2-6;1-6;1-3
;Benedetti;BRA;Palmeiras;D (C);31/12/2029;2/4/2025;-;-;-;-;19;D (C);Pé Preferido Desconhecido;Brasil;1,97 m;São Paulo;7/6/2006;D (C);Abaixo da Média;;Ferroviária;;;2000263998;-;9-18;-;-;7-15;-;-;10-19;-;10-17;-;-;-;-;15-20;-;-;-;14-20;-;-;-;-;-;4-13;-;-;-;-;13-20;-;-;-;-;-;-;-;-;-;-;-
;Benício;BRA;Santos;M/MO (C);31/1/2028;26/2/2025;-;-;-;-;17;M/MO (C);Pé Preferido Desconhecido;Brasil;1,80 m;;15/12/2008;MO (C);Acima da Média;;Monte Azul;;;2000491166;9-15;-;-;3-11;-;-;7-13;-;-;3-13;5-13;-;-;-;-;-;-;-;-;-;-;-;-;6-12;-;-;-;-;8-18;-;-;-;1-11;-;-;-;-;-;-;-;-
;Benjamin;GHA;SC Internacional;MD;31/12/2027;31/1/2025;-;-;-;-;19;MD;Pé Preferido Desconhecido;Gana;1,68 m;;29/5/2006;MD;Abaixo da Média;;-;;S-20;2000396334;-;14-20;-;4-13;-;-;2-10;-;-;5-11;-;-;-;-;1-3;-;-;-;-;-;-;-;8-16;8-15;-;-;-;-;3-9;-;-;-;-;-;-;-;-;-;-;-;-
For;Benjamin;BRA;Grêmio;MO (E);31/12/2026;30/12/2024;-;-;-;-;16;MO (E);Pé Preferido Desconhecido;Brasil;1,75 m;;14/7/2009;MO (E);Abaixo da Média;;-;;;2000484237;-;-;-;3-11;-;-;-;-;-;3-13;4-12;13-20;1-9;-;-;-;8-14;-;-;-;14-20;4-12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Alexandro Bernabei;ARG;SC Internacional;D/DA/M (E);31/12/2028;1/1/2025;16-20;15-20;1-4;1-3;25;D/DA/M (E);Pé Esquerdo;Argentina;1,69 m;Santa Fe;24/9/2000;D (E);Abaixo da Média;;Celtic;Itália;;14217260;11-15;10-14;8-12;10-16;7-13;7-11;6-10;4-8;9-13;10-14;9-13;9-13;12-18;8-14;9-13;12-16;12-16;14-20;3-9;13-17;10-14;13-19;13-17;10-14;10-14;12-16;10-14;7-13;7-13;13-17;9-13;7-13;11-15;9-13;1-4;2-6;1;1-5;1-6;1-4;1-5
;Facundo Bernal;URU;Fluminense;MD, M (C);31/12/2028;31/7/2024;11-15;15-19;1-5;1-7;22;MD, M (C);Pé Direito;Uruguai;1,87 m;Montevideo;21/8/2003;MD;Alta;;Defensor Sporting;;S-23;2000090213;8-14;12-16;6-10;13-17;9-13;3-9;7-13;10-14;10-14;11-17;9-13;9-13;11-15;7-11;12-18;9-15;10-14;13-17;10-14;13-17;9-13;11-15;11-17;10-14;11-15;11-15;9-13;13-17;8-12;12-18;9-15;8-12;10-16;11-15;1-3;1-3;2-6;1-3;2-6;1-7;1-5
;Bernard;BRA;Atlético Mineiro;MO (DEC);31/12/2027;1/7/2024;3-7;6-12;3-7;1-3;33;MO (DEC);Pé Direito;Brasil;1,64 m;Minas Gerais;8/9/1992;MO (E);Acima da Média;;Panathinaikos;Espanha;;19152048;13-17;6-10;8-14;11-17;3-7;4-8;8-12;9-13;9-13;14-18;5-9;13-19;11-17;11-15;5-9;9-13;12-16;7-13;2-6;7-11;9-15;8-14;11-15;16-20;2-6;15-19;9-15;7-13;14-18;10-14;10-14;9-13;10-14;10-16;1-5;1-2;1-7;1-5;1-3;1-5;2-6
